stop_name,stop_id,stop_lat,stop_lon,carrier,identifier
Lazarim (R S Macário) (X) R Humberto Madeira,11_2334,38.6423834933757,-9.20042564353324,data_tst,2334
Lazarim (R S Macário) Fte (X) R Humberto Madeira,11_2333,38.6420730085428,-9.20052110890638,data_tst,2333
Lg. Vitorino Damásio,1_3918,38.707843,-9.153649,data_carris,3918
Lisboa (Alameda Edgar Cardoso),11_4069,38.7290806879192,-9.15630381260307,data_tst,4069
Lisboa (Alcântara) Avª Ceuta Est CP,11_774,38.7072193947662,-9.17361055752165,data_tst,774
Lisboa (Alcântara) Avª Ceuta Fte Banco Alimentar,11_242,38.7082742116782,-9.17385119370737,data_tst,242
Lisboa (Areeiro) Avª João XXI 54,11_2339,38.7422805000388,-9.14041683677321,data_tst,2339
Lisboa (Areeiro) Avª João XXI 56,11_2340,38.7423594429366,-9.1403866217723,data_tst,2340
Lisboa (Areeiro) Pça Manuel Nóbrega 8B Terminal,11_2341,38.7437158014705,-9.13381088874314,data_tst,2341
Lisboa (Avª Berna 1) Fte EMEL,11_2342,38.7412030783981,-9.14726671225778,data_tst,2342
Lisboa (Avª Berna 31A),11_2343,38.7395715931379,-9.15175044156051,data_tst,2343
Lisboa (Avª C Gulbenkian) Debaixo Viaduto J. Malho,11_4352,38.7361865914799,-9.16041369314052,data_tst,4352
Lisboa (Avª Ceuta) ETAR,11_2344,38.7193344473633,-9.17482226968784,data_tst,2344
Lisboa (Avª Ceuta) Fte ETAR,11_779,38.7186740541642,-9.17492520186676,data_tst,779
Lisboa (Avª Ceuta) Fte Posto Repsol,11_775,38.7128551227829,-9.17539307731505,data_tst,775
Lisboa (Avª Ceuta) Qta Cabrinha,11_780,38.7101964960936,-9.17425273300076,data_tst,780
Lisboa (Avª Engº Duarte Pacheco) Fte Amoreiras,11_4066,38.7243325652923,-9.16073491164028,data_tst,4066
Lisboa (Avª Engº Duarte Pacheco) Fte Hotel Ritz,11_4068,38.7250396861267,-9.15515556748172,data_tst,4068
Lisboa (Avª Engº Duarte Pacheco) Fte Midas,11_4063,38.7230819606826,-9.16692783986117,data_tst,4063
Lisboa (Avª Engº Duarte Pacheco) Midas,11_4064,38.7231926957351,-9.16633083482958,data_tst,4064
Lisboa (Avª José Malhoa Fte IEFP),11_234,38.7371362096156,-9.16362457205578,data_tst,234
Lisboa (Avª Prof Egas Moniz) Fte Hospital Sta Mari,11_2351,38.750110320883,-9.16145201372858,data_tst,2351
Lisboa (Avª Prof Egas Moniz) Hospital Sta Maria,11_2350,38.7500851773449,-9.15972941445014,data_tst,2350
Lisboa (C Universit) Avª Prof G Pinto (Term),11_2352,38.7525630259613,-9.15943139014499,data_tst,2352
Lisboa (C Universit) Avª Prof G Pinto (Term) Fte R,11_2107,38.7514590849949,-9.1591231717553,data_tst,2107
Lisboa (Campo Pequeno) Avª Berna 28 FCSH,11_2353,38.739813024965,-9.1514320451843,data_tst,2353
Lisboa (Campo Pequeno) Avª Berna 6 Finibanco,11_2354,38.7411586780131,-9.14788483968808,data_tst,2354
Lisboa (Campo Pequeno) Avª João XXI (Pç Touros),11_2355,38.741693361911,-9.14447886941183,data_tst,2355
Lisboa (Campolide) Avª C Gulbenkian (Alto),11_776,38.7322736875151,-9.16464526449995,data_tst,776
Lisboa (Campolide) Avª C Gulbenkian Est CP,11_778,38.7300480880378,-9.16815133337309,data_tst,778
Lisboa (Gare Oriente) Cais,11_1350,38.768120032029,-9.10034995458142,data_tst,1350
Lisboa (Gare Oriente) Cais 21,11_207,38.7675952450761,-9.10038084578519,data_tst,207
Lisboa (Gare Oriente) Cais 22,11_208,38.7675367831545,-9.10012413832081,data_tst,208
Lisboa (Gare Oriente) Terminal P25C,11_2838,38.7681246645896,-9.10034960233822,data_tst,2838
Lisboa (Marquês Pombal) Fte Quiosque,11_4070,38.7260456611729,-9.15357615678149,data_tst,4070
Lisboa (Praça José Queirós),11_4237,38.7731208636698,-9.10519187072645,data_tst,4237
Lisboa (Pça Espanha) (X) Avª Sant Dumont (Fte Term,11_2359,38.7386548418097,-9.15721822867249,data_tst,2359
Lisboa (Pça Espanha) Terminal P1,11_1447,38.7367268880289,-9.15947744689585,data_tst,1447
